"id","chat_id","action","action_from","action_to","reply_on_id","reply_on_chat_id","message_id","message_chat_id","time","created_at"
2191,-1001489613436,message,"1309325426",,,,"24701",-1001489613436,2024-08-19 17:01:37.000 +0300,2024-11-25 19:35:49.489
2192,-1001489613436,message,"1309325426",,,,"24700",-1001489613436,2024-08-19 17:01:30.000 +0300,2024-11-25 19:35:49.594
4,"1",message,"11",,,,"12","1",2023-10-25 15:30:00.000 +0300,2024-11-25 15:14:19.284
8,-1002462279841,message,"374150300",,,,"26",-1002462279841,2024-11-18 21:32:07.000 +0300,2024-11-25 18:59:12.059
9,-1002462279841,message,"374150300",,,,"25",-1002462279841,2024-11-18 21:17:46.000 +0300,2024-11-25 18:59:12.422
10,-1002462279841,message,"374150300",,,,"24",-1002462279841,2024-11-18 21:13:39.000 +0300,2024-11-25 18:59:12.605
11,-1002462279841,message,"374150300",,,,"22",-1002462279841,2024-11-12 19:46:48.000 +0300,2024-11-25 18:59:12.826
14,-1002462279841,message,"374150300",,,,"17",-1002462279841,2024-11-01 18:08:17.000 +0300,2024-11-25 18:59:13.077
15,-1002462279841,message,"374150300",,,,"16",-1002462279841,2024-11-01 18:08:12.000 +0300,2024-11-25 18:59:13.220
16,-1002462279841,message,"509124995",,,,"15",-1002462279841,2024-11-01 18:07:47.000 +0300,2024-11-25 18:59:13.389
17,-1002462279841,message,"637512082",,,,"14",-1002462279841,2024-11-01 18:07:34.000 +0300,2024-11-25 18:59:13.620
18,-1002462279841,message,"509124995",,,,"12",-1002462279841,2024-11-01 18:04:09.000 +0300,2024-11-25 18:59:13.995
19,-1002462279841,message,"509124995",,,,"11",-1002462279841,2024-11-01 18:03:55.000 +0300,2024-11-25 18:59:14.191
20,-1002462279841,message,"637512082",,,,"10",-1002462279841,2024-11-01 18:03:35.000 +0300,2024-11-25 18:59:14.350
21,-1002462279841,message,"637512082",,,,"9",-1002462279841,2024-11-01 18:03:00.000 +0300,2024-11-25 18:59:14.471
22,-1002462279841,message,"374150300",,,,"8",-1002462279841,2024-11-01 18:02:54.000 +0300,2024-11-25 18:59:14.662
23,-1002462279841,message,"637512082",,,,"7",-1002462279841,2024-11-01 18:02:52.000 +0300,2024-11-25 18:59:14.830
24,-1002462279841,message,"637512082",,,,"6",-1002462279841,2024-11-01 18:02:30.000 +0300,2024-11-25 18:59:15.035
25,-1002462279841,message,"637512082",,,,"5",-1002462279841,2024-11-01 18:02:27.000 +0300,2024-11-25 18:59:15.316
26,-1002462279841,message,"374150300",,,,"4",-1002462279841,2024-11-01 18:02:16.000 +0300,2024-11-25 18:59:15.569
27,-1002462279841,message,"374150300",,,,"3",-1002462279841,2024-11-01 18:02:00.000 +0300,2024-11-25 18:59:15.847
28,-1001122783212,message,"2122880839",,,,"237242",-1001122783212,2024-11-25 22:08:37.000 +0300,2024-11-25 19:09:38.303
1064,-1001489613436,message,"4850058",,,,"28072",-1001489613436,2024-11-23 11:48:43.000 +0300,2024-11-25 19:33:55.875
1067,-1001489613436,message,"4850058",,,,"28016",-1001489613436,2024-11-21 21:23:53.000 +0300,2024-11-25 19:33:56.207
32,-1001122783212,message,"441006759",,,,"237221",-1001122783212,2024-11-25 13:27:12.000 +0300,2024-11-25 19:09:38.978
33,-1001122783212,message,"5308325708",,,,"237220",-1001122783212,2024-11-25 13:27:03.000 +0300,2024-11-25 19:09:39.141
34,-1001122783212,message,"441006759",,,,"237219",-1001122783212,2024-11-25 13:26:27.000 +0300,2024-11-25 19:09:39.280
35,-1001122783212,message,"5308325708",,,,"237218",-1001122783212,2024-11-25 13:18:38.000 +0300,2024-11-25 19:09:39.411
