"chat_id","chat_name","users_count","created_at"
"1",hggg,4,2024-11-25 15:14:19.096
-1002313549011,this_chat_love,3,2024-11-25 15:33:44.999
-1002023700211,Lolilendss,7191,2024-11-25 15:46:59.823
-1002462279841,new_love_chat,4,2024-11-25 18:59:10.860
-1001122783212,fpmi_abitu,2712,2024-11-25 19:09:35.721
-1001442386745,hsse_entering,922,2024-11-25 19:16:49.903
-1001489613436,online_mipt,2090,2024-11-25 19:27:24.685
-1001452469058,frkt_mipt,1224,2024-11-25 20:17:35.532
-1001777872814,chatindustrialbioinformatics,17,2024-12-01 12:37:02.693
-1001988844249,mipt_books_club,83,2024-12-02 18:59:34.439
-1001766836402,mipt_comp_fin,665,2024-12-02 19:03:16.908
-1001494333632,egy_hse,8419,2024-12-02 19:17:51.809
-1001365194679,ca_intermediate_students,22798,2024-12-02 19:31:46.532
-1002052813792,ege100ballov_chat,2126,2024-12-02 19:34:58.077
-1001204289117,rus_ege_2021,969,2024-12-02 19:47:03.061
-1001409551458,vtusovke,55207,2024-12-02 19:50:18.007
-1001263827769,ekbchat_66,18878,2024-12-02 20:09:57.120
-1001247286870,exams_chat,838,2024-12-02 21:51:41.222
-1001380228829,statgrad,3365,2024-12-02 21:52:24.265
-1001845118035,cacscmawale,36670,2024-12-02 21:56:26.275
-1001186046384,mipt_internships,4717,2024-12-02 22:13:08.959
-1001703086986,kb_mipt_chat,1673,2024-12-02 22:52:50.811
-1001215258204,lpr_abity_chat,1090,2024-12-02 22:53:28.360
-1001451022019,fakt_mipt,926,2024-12-02 22:53:48.288
-1001609022454,ai_mipt_chat,849,2024-12-02 23:05:50.440
-1001279214721,abitu_sepmp,754,2024-12-02 23:05:56.650
-1001502301331,ai_mipt_chelyabinsk,423,2024-12-02 23:21:12.135
-1001296105005,kotlin_mipt,321,2024-12-02 23:21:14.382
-1001302182583,a4mipt,311,2024-12-02 23:32:20.459
-1001255686586,sailingmipt,258,2024-12-02 23:32:22.574
-1001530349240,ai_mipt_rostov,223,2024-12-02 23:54:43.956
-1001136585693,mipt_statmethods,221,2024-12-02 23:54:45.355
-1001629557239,ai_mipt_smolensk,191,2024-12-03 00:03:28.830
-1001671388719,ai_mipt_saratov,168,2024-12-03 00:03:31.967
-1001493621122,ai_mipt_tyumen,145,2024-12-03 00:03:33.180
-1001526999362,online_mipt_ai,112,2024-12-03 00:03:34.676
-1001540414245,v8wjn9sx1te0mjvi,108,2024-12-03 00:05:39.459
-1001539082037,miptkino,87,2024-12-03 00:05:40.438
-1001293011287,uavprofru,63,2024-12-03 00:06:17.979
-1001974217887,mipt_ai_pm,55,2024-12-03 00:06:23.073
-1001787397511,degree_mipt_netology_chat,58,2024-12-03 00:08:02.742
-1002083926976,shir_music,39,2024-12-03 00:08:03.596
-1001967645802,mipt_dm_2023,40,2024-12-03 00:08:05.557
-1001193397273,miptivt,35,2024-12-03 00:08:06.321
-1001905873273,mipt_mmphys,36,2024-12-03 00:08:07.378
-1001547528160,oshmiptcpp,34,2024-12-03 00:08:10.884
-1001851787848,sys_prog,31,2024-12-03 00:08:11.960
-1001905312977,miptstartups,26,2024-12-03 00:08:17.102
-1001641645144,fltpmipt,25,2024-12-03 00:08:17.736
-1001272694211,mipt_cgt,19,2024-12-03 00:08:25.693
-1001362286693,pystartmipt,18,2024-12-03 00:08:26.879
-1002082600483,mba_chat10,19,2024-12-03 00:08:27.562
-1001803435089,evidance_art,17,2024-12-03 00:08:28.474
-1001191681013,opticsmipt2020_chat,14,2024-12-03 00:08:30.049
-1001272108609,lifenavigationmipt2019_chat,11,2024-12-03 00:08:33.642
-1001550223738,miptjobchat,10,2024-12-03 00:08:34.302
-1001058124170,ffke_mipt,11,2024-12-03 00:08:35.080
-1001315858004,mipt09,9,2024-12-03 00:08:35.779
-1001189525212,miptbcendowment,8,2024-12-03 00:08:36.733
-1001770346130,chatmiptonlinedegree,7,2024-12-03 00:08:37.767
-1001178171559,qt_mipt,8,2024-12-03 00:08:39.870
-1001293818268,sepmp_comments,5,2024-12-03 00:08:40.682
-1001140500499,jobdelivery,36380,2024-12-03 07:28:45.554
-1001123796763,roditelimoskvi,16110,2024-12-03 07:49:49.084
-1001489586584,qa_courses,12798,2024-12-03 07:50:50.940
-1001214886797,infohit_rabota,7233,2024-12-03 07:54:21.297
-1001247970410,qsteducation,5460,2024-12-03 07:54:56.702
-1001195309745,druzyabd,45358,2024-12-03 13:52:12.475
-1001549352738,chat_devushkim,32125,2024-12-03 16:21:11.439
-1001592476217,virtiklove,38377,2024-12-03 16:25:59.754
-1001679429088,vpiska_chatik,36904,2024-12-03 17:32:21.041
-1001422302072,poisk_knig_chat,1381,2024-12-08 13:24:51.000
